Company,Latitude,Longitude,"Address, City, State & Zip",Salesman Assigned,Product Name,Cases 10/20/2020,Cases 10/21/2020,Cases 10/22/2020,Cases 10/23/2020
Parkway Convenience,42.3989588,-70.994105,"190 Revere Beach Parkway, Revere, MA 02151",Adam Meuse,FAB Squid 3D NEIPA 6/4/16,0,1,0,0
Pamplemousse - Reading,42.5223787,-71.1066918,"26 Haven Street, Reading, MA 01867",Caleb Howcroft,FAB Johnny Get Your Raygun DDH IPA 6/4/16,0,1,0,0
Norton Beverage Co.,42.398382,-71.130985,"2451 Massachusetts Ave, Cambridge, MA 02140",Adam Meuse,FAB Squid 3D NEIPA 6/4/16,1,0,0,0
Norton Beverage Co.,42.398382,-71.130985,"2451 Massachusetts Ave, Cambridge, MA 02140",Adam Meuse,FAB CHAOS 3xNEIPA SHOG 6/4/16,1,0,0,0
Norton Beverage Co.,42.398382,-71.130985,"2451 Massachusetts Ave, Cambridge, MA 02140",Adam Meuse,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,1,0,0,0
Norton Beverage Co.,42.398382,-71.130985,"2451 Massachusetts Ave, Cambridge, MA 02140",Adam Meuse,FAB 200 Fruited IPA 6/4/16,1,0,0,0
Maynard Corner Store,42.4292731,-71.449922,"49 Walnut St, Maynard, MA 01754",Tom Briggs,FAB Squid 3D NEIPA 6/4/16,0,1,0,0
Main Street Wine & Spirits,41.69011,-71.565339,"1142 Main St, Coventry, RI 02816",Rich Koeppen,FAB CHAOS 3xNEIPA SHOG 6/4/16,0,1,0,0
Liquor Locker,44.2883973,-68.3295424,"11 Seal Cove Rd., Southwest Harbor, ME 04679",Bailey Lyon,FAB CHAOS 3xNEIPA SHOG 6/4/16,0,0,1,0
Liquor Junction - Somerville,42.3741353,-71.0862217,"14 McGrath Highway, Somerville, MA 02143",Tyler Corey,FAB Squid 3D NEIPA 6/4/16,1,0,0,0
Lighthouse Wine & Spirits,42.5756194,-70.8795092,"144-149 Brimbal Ave, Beverly, MA 01915",Caleb Howcroft,FAB Cosmic Plankton Fruited Sour 6/4/16,0,0,1,0
Lakeville Liquors,41.8441214,-70.9481339,"330 Bedford St, Lakeville, MA 02347",Tom Briggs,FAB Squid 3D NEIPA 6/4/16,0,0,1,0
Josie's Country Store,44.5311627,-68.4313798,"126 Surry Rd., Ellsworth, ME 04605",Bailey Lyon,FAB CHAOS 3xNEIPA SHOG 6/4/16,0,0,0.96,0
Francis Market,42.3822549,-71.1980689,"1084 Belmont St, Watertown, MA 02472",Tom Briggs,FAB Squid 3D NEIPA 6/4/16,0,1,0,0
First United Market,42.3575751,-71.1080638,"271 Brookline St, Cambridge, MA 02139",Adam Meuse,FAB Squid 3D NEIPA 6/4/16,1,0,0,0
First United Market,42.3575751,-71.1080638,"271 Brookline St, Cambridge, MA 02139",Adam Meuse,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,1,0,0,0
Eataly Cantina,42.346516,-71.08385,"800 Boylston Street, Boston, MA 02199",Matt Kemon,FAB Pilsner 4 Peace Pilsner 6/4/16,1,0,0,0
Dr Duff's Lost & Found Project,41.8662021,-71.5018696,"198 Putnam Pike, Johnston, RI 02911",Chris Martelly,FAB Squid 3D NEIPA 6/4/16,0,0,1,0
Dr Duff's Lost & Found Project,41.8662021,-71.5018696,"198 Putnam Pike, Johnston, RI 02911",Chris Martelly,FAB Cosmic Plankton Fruited Sour 6/4/16,0,0,1,0
Dr Duff's Lost & Found Project,41.8662021,-71.5018696,"198 Putnam Pike, Johnston, RI 02911",Chris Martelly,FAB Atlantis Will Prevail 2xNEIPA 6/4/16,0,0,1,0
Dr Duff's Lost & Found Project,41.8662021,-71.5018696,"198 Putnam Pike, Johnston, RI 02911",Chris Martelly,FAB 200 Fruited IPA 6/4/16,0,0,1,0
Dorr's Liquor Mart,42.3489336,-71.153118,"354 Washington Street, Brighton, MA 02135",Tyler Corey,FAB Squid 3D NEIPA 6/4/16,1,0,0,0
